Nilai1,Nilai2,Nilai3,Hasil
0.23390,0.01730,0.00000,Gempa
0.01390,0.00000,0.00000,Gempa
0.00260,0.00120,0.00000,Gempa
0.00120,0.01850,0.02190,Gempa
0.04260,0.00120,0.00000,Gempa
0.02310,0.00000,0.00000,Gempa
0.08760,0.00120,0.00000,Gempa
0.06800,0.00230,0.00120,Gempa
0.00140,0.00000,0.00120,Gempa
0.01150,0.00000,0.00000,Gempa
0.00020,0.00120,0.00120,Gempa
0.00120,0.00000,0.00000,Gempa
0.01040,0.00000,0.00000,Gempa
0.08060,0.00000,0.00000,Gempa
0.00690,0.00230,0.00000,Gempa
0.00350,0.01790,0.01980,Non-Gempa
0.00420,0.02120,0.00680,Non-Gempa
0.00240,0.02040,0.00950,Non-Gempa
0.00660,0.02420,0.00990,Non-Gempa
0.00500,0.02020,0.00910,Non-Gempa
0.00330,0.03540,0.01040,Non-Gempa
0.00360,0.02720,0.01120,Non-Gempa
0.00140,0.00640,0.00040,Non-Gempa
0.00170,0.00880,0.00300,Non-Gempa
0.00060,0.01790,0.00180,Non-Gempa
0.00270,0.00890,0.00050,Non-Gempa
0.00190,0.00440,0.00090,Non-Gempa
0.00480,0.01850,0.00300,Non-Gempa
0.00120,0.01390,0.00370,Non-Gempa
0.00270,0.02070,0.01410,Non-Gempa
